Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Morgan Stanley & Co. Incorporated,Unaffected,23493,681687,2525622,33880767
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525622,33880759
Row 2,FAX.CON.003,Account Number,0,123 445566 123,Unaffected,23493,681689,2525622,33880758
Row 3,FAX.CON.043,Box 2a: Gross Proceeds Less Commissions And Option Premiums,0,480686,Unaffected,23493,682799,2525622,33880760
Row 4,FAX.CON.405,Box 3: Cost or Other Basis,0,369453,Unaffected,23493,698129,2525622,33880762
Row 5,FAX.CON.459,Box 5: Wash Sales Loss Disallowed,0,1088,Unaffected,23493,698426,2525622,33880763
Row 6,FAX.CON.576,Box 2a: Gross Proceeds – Covered Securities,0,480686,Unaffected,23493,676103,2525622,33880761
Row 7,FAX.CON.793,Employer ID,0,20-8764829,Unaffected,23493,696187,2525622,33880755
Row 8,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525622,33880766
Row 9,FAX.CON.012,Box 1a: Total Ordinary Dividends (Includes 1B),100,27842,Unaffected,23493,681697,2525622,33880770
Row 10,FAX.CON.013,Box 1b: Qualified Dividends,100,15672,Unaffected,23493,682357,2525622,33880772
Row 11,FAX.CON.014,Box 2a: Total Capital Gain Distribution,100,5140,Unaffected,23493,682358,2525622,33880774
Row 12,FAX.CON.018,Box 3: Nondividend Distributions,100,353,Unaffected,23493,682362,2525622,33880780
Row 13,FAX.CON.021,Box 7: Foreign Tax Paid,100,773,Unaffected,23493,682365,2525622,33880786
Row 14,FAX.CON.914,Box 5: Sec 199A Dividends,100,983,Unaffected,23493,683837,2525622,33880783
Row 15,FAX.CON.005,Box 1: Interest Income Not Included In Line 3,110,13,Unaffected,23493,681690,2525622,33880792
Row 16,FAX.CON.007,Box 3: Interest On U.S. Savings Bonds And Treasury Obligations,110,108,Unaffected,23493,681692,2525622,33880795
Row 17,FAX.CON.121,Box 8: Tax–Exempt Interest,110,21709,Unaffected,23493,674680,2525622,33880800
Row 18,FAX.CON.122,Box 9: Specified Private Activity Bond Interest,110,2000,Unaffected,23493,674681,2525622,33880802
Row 19,FAX.CON.735,Box 13: Bond Premium on Tax-Exempt Bond,110,12415,Unaffected,23493,668822,2525622,33880807
Row 20,FAX.CON.695,Box 6: Acquisition Premium,121,22,Unaffected,23493,685912,2525622,33880820
Row 21,FAX.CON.907,Box 8: New Tax-Exempt OID Summary,121,22,Unaffected,23493,683455,2525622,33880825
