Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Morgan Stanley & Co. Incorporated,Unaffected,23493,681687,2525628,33880588
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525628,33880591
Row 2,FAX.CON.003,Account Number,0,123 445566 123,Unaffected,23493,681689,2525628,33880587
Row 3,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525628,33880589
Row 4,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2801,CALIFORNIA HEA BE 5000 39MY01,Unaffected,23493,686155,2525628,33880592
Row 5,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2801,408,Unaffected,23493,686156,2525628,33880593
Row 6,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2801,1,Unaffected,23493,686158,2525628,33881793
Row 7,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2801,(null),Unaffected,23493,686159,2525628,33881794
Row 8,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2802,CALIFORNIA ST BE 5000 30MH01,Unaffected,23493,686155,2525628,33880594
Row 9,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2802,659,Unaffected,23493,686156,2525628,33880595
Row 10,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2802,1,Unaffected,23493,686158,2525628,33881798
Row 11,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2802,(null),Unaffected,23493,686159,2525628,33881799
Row 12,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2803,CALIFORNIA ST BE 5000 32MH01,Unaffected,23493,686155,2525628,33880597
Row 13,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2803,1018,Unaffected,23493,686156,2525628,33880596
Row 14,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2803,1,Unaffected,23493,686158,2525628,33881801
Row 15,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2803,(null),Unaffected,23493,686159,2525628,33881802
Row 16,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2804,CALIFORNIA STA BE 5000 38AP01,Unaffected,23493,686155,2525628,33880599
Row 17,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2804,226,Unaffected,23493,686156,2525628,33880598
Row 18,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2804,1,Unaffected,23493,686158,2525628,33881806
Row 19,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2804,(null),Unaffected,23493,686159,2525628,33881807
Row 20,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2805,FREMONT UNION CA BE 5000 22AU01,Unaffected,23493,686155,2525628,33880601
Row 21,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2805,758,Unaffected,23493,686156,2525628,33880600
Row 22,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2805,1,Unaffected,23493,686158,2525628,33881811
Row 23,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2805,(null),Unaffected,23493,686159,2525628,33881812
Row 24,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2806,LOS ANGELES CA BE 5000 28JL01,Unaffected,23493,686155,2525628,33880603
Row 25,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2806,1223,Unaffected,23493,686156,2525628,33880602
Row 26,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2806,1,Unaffected,23493,686158,2525628,33881816
Row 27,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2806,(null),Unaffected,23493,686159,2525628,33881817
Row 28,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2807,LOS ANGELES CA BE 5000 31MY15,Unaffected,23493,686155,2525628,33880604
Row 29,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2807,1022,Unaffected,23493,686156,2525628,33880605
Row 30,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2807,1,Unaffected,23493,686158,2525628,33881823
Row 31,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2807,(null),Unaffected,23493,686159,2525628,33881824
Row 32,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2808,LOS ANGELES CA BE 5000 22JL01,Unaffected,23493,686155,2525628,33880607
Row 33,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2808,86,Unaffected,23493,686156,2525628,33880606
Row 34,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2808,1,Unaffected,23493,686158,2525628,33881826
Row 35,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2808,(null),Unaffected,23493,686159,2525628,33881827
Row 36,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2809,METROPOLITAN CA BE 5000 23JL01,Unaffected,23493,686155,2525628,33880608
Row 37,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2809,1787,Unaffected,23493,686156,2525628,33880609
Row 38,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2809,1,Unaffected,23493,686158,2525628,33881833
Row 39,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2809,(null),Unaffected,23493,686159,2525628,33881834
Row 40,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2810,MONTEREY PENIN CA BE 5750 41AU01,Unaffected,23493,686155,2525628,33880610
Row 41,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2810,973,Unaffected,23493,686156,2525628,33880611
Row 42,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2810,1,Unaffected,23493,686158,2525628,33881838
Row 43,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2810,(null),Unaffected,23493,686159,2525628,33881839
Row 44,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2811,ORANGE CNTY CA BE 5000 33AU15,Unaffected,23493,686155,2525628,33880612
Row 45,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2811,1165,Unaffected,23493,686156,2525628,33880613
Row 46,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2811,1,Unaffected,23493,686158,2525628,33881843
Row 47,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2811,(null),Unaffected,23493,686159,2525628,33881844
Row 48,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2812,RIVERSIDE CALI BE 4000 35AU01,Unaffected,23493,686155,2525628,33880615
Row 49,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2812,751,Unaffected,23493,686156,2525628,33880614
Row 50,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2812,1,Unaffected,23493,686158,2525628,33881846
Row 51,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2812,(null),Unaffected,23493,686159,2525628,33881847
Row 52,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2813,RIVERSIDE CALI BE 5000 33JL01,Unaffected,23493,686155,2525628,33880616
Row 53,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2813,842,Unaffected,23493,686156,2525628,33880617
Row 54,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2813,1,Unaffected,23493,686158,2525628,33881853
Row 55,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2813,(null),Unaffected,23493,686159,2525628,33881854
Row 56,FAX.CON.715,Tax-Exempt Bond Premium  – Description,2814,SAN FRANCISCO CA BE 5000 24NV01,Unaffected,23493,686155,2525628,33880619
Row 57,FAX.CON.716,Tax-Exempt Bond Premium – Amount,2814,1496,Unaffected,23493,686156,2525628,33880618
Row 58,FAX.CON.718,Tax-Exempt Bond Premium Exempt % or Amount - Percent or Amount,2814,1,Unaffected,23493,686158,2525628,33881856
Row 59,FAX.CON.719,Check If Tax-Exempt Bond Premium State Taxable,2814,(null),Unaffected,23493,686159,2525628,33881857
