Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.K3P.001,Tax Year,0,2,Modified,23899,693450,2525660,33880251
Row 1,FAX.K3P.006,A Partnership’s employer identification number (EIN),0,52-2291755,Unaffected,23899,693455,2525660,33880250
Row 2,FAX.K3P.007,B Partnership’s name,0,"PERCEPTIVE LIFE FUND, LP",Unaffected,23899,693456,2525660,33880249
Row 3,FAX.K3P.012,C Partner's SSN or Taxpayer Identification Number (TIN),0,111-11-1111,Unaffected,23899,693461,2525660,33880248
Row 4,FAX.K3P.013,D Partner's Name,0,JACK ANDERSON,Unaffected,23899,693462,2525660,33880252
Row 5,FAX.K3P.483,PART III - Section 4 - Foreign Taxes - 1 Direct (section 901 or 903) foreign taxes - (d) Passive category income - Foreign,711,50,Unaffected,23899,694746,2525660,33880218
Row 6,FAX.K3P.483,PART III - Section 4 - Foreign Taxes - 1 Direct (section 901 or 903) foreign taxes - (d) Passive category income - Foreign,712,465,Unaffected,23899,694746,2525660,33880220
Row 7,FAX.K3P.483,PART III - Section 4 - Foreign Taxes - 1 Direct (section 901 or 903) foreign taxes - (d) Passive category income - Foreign,713,943,Unaffected,23899,694746,2525660,33880222
Row 8,FAX.K3P.483,PART III - Section 4 - Foreign Taxes - 1 Direct (section 901 or 903) foreign taxes - (d) Passive category income - Foreign,714,964,Unaffected,23899,694746,2525660,33880224
Row 9,FAX.K3P.483,PART III - Section 4 - Foreign Taxes - 1 Direct (section 901 or 903) foreign taxes - (d) Passive category income - Foreign,715,314,Unaffected,23899,694746,2525660,33880226
