Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Morgan Stanley & Co. Incorporated,Unaffected,23493,681687,2525633,33880833
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525633,33880836
Row 2,FAX.CON.003,Account Number,0,123 445566 123,Unaffected,23493,681689,2525633,33880827
Row 3,FAX.CON.119,Foreign Ordinary Dividend,0,4770,Unaffected,23493,673849,2525633,33880830
Row 4,FAX.CON.120,Foreign Qualified Dividend,0,1913,Unaffected,23493,673850,2525633,33880831
Row 5,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525633,33880834
Row 6,FAX.CON.055,Box #: Tax–Exempt OID,121,22,Unaffected,23493,683515,2525633,33880832
Row 7,FAX.CON.173,Accrued Interest Paid Against Box 8 – Description,1802,FREMONT UNION CA BE 5000 22AU01,Unaffected,23493,685137,2525633,33880841
Row 8,FAX.CON.174,Accrued Interest Paid Against Box 8 – Amount,1802,500,Unaffected,23493,685138,2525633,33880842
Row 9,FAX.CON.173,Accrued Interest Paid Against Box 8 – Description,1803,LOS ANGELES CA BE 4000 22JN15,Unaffected,23493,685137,2525633,33880843
Row 10,FAX.CON.174,Accrued Interest Paid Against Box 8 – Amount,1803,251,Unaffected,23493,685138,2525633,33880844
Row 11,FAX.CON.173,Accrued Interest Paid Against Box 8 – Description,1804,LOS ANGELES CA BE 5000 22JL01,Unaffected,23493,685137,2525633,33880845
Row 12,FAX.CON.174,Accrued Interest Paid Against Box 8 – Amount,1804,165,Unaffected,23493,685138,2525633,33880846
Row 13,FAX.CON.173,Accrued Interest Paid Against Box 8 – Description,1805,MONTEREY PENIN CA BE 5750 41AU01,Unaffected,23493,685137,2525633,33880847
Row 14,FAX.CON.174,Accrued Interest Paid Against Box 8 – Amount,1805,597,Unaffected,23493,685138,2525633,33880848
Row 15,FAX.CON.284,"Accrued Interest Paid Against Box 1,3 – Description",1806,US TSY NOTE 0625 31AU15,Unaffected,23493,670081,2525633,33880837
Row 16,FAX.CON.285,"Accrued Interest Paid Against Box 1,3 – Amount",1806,36,Unaffected,23493,670082,2525633,33880838
Row 17,FAX.CON.312,Tax–Exempt OID – Description,2605,MONTEREY PENIN CA BE 5750 41AU01,Unaffected,23493,675793,2525633,33880849
Row 18,FAX.CON.313,Tax–Exempt OID – Amount,2605,22,Unaffected,23493,675941,2525633,33880850
Row 19,FAX.CON.333,Tax–Exempt OID – Check If State Taxable,2605,(null),Unaffected,23493,682875,2525633,33881789
Row 20,FAX.CON.335,Tax–Exempt OID – Exempt % or Amount – Percent or Amount,2605,1,Unaffected,23493,682877,2525633,33881790
