Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Morgan Stanley & Co. Incorporated,Unaffected,23493,681687,2525630,33881122
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525630,33881119
Row 2,FAX.CON.003,Account Number,0,123 445566 123,Unaffected,23493,681689,2525630,33881118
Row 3,FAX.CON.793,Employer ID,0,20-8764829,Unaffected,23493,696187,2525630,33881116
Row 4,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525630,33881123
Row 5,FAX.CON.069,Short Term – Description,6007,ADVANCED MICRO DEVICES,Unaffected,23493,684758,2525630,33881160
Row 6,FAX.CON.070,Short Term – Date Sold,6007,03/04/21,Unaffected,23493,684759,2525630,33881154
Row 7,FAX.CON.071,Short Term – Date Acquired,6007,01/27/21,Unaffected,23493,684760,2525630,33881153
Row 8,FAX.CON.072,Short Term – Proceeds,6007,13484,Unaffected,23493,684761,2525630,33881155
Row 9,FAX.CON.073,Short Term – Cost,6007,14790,Unaffected,23493,684762,2525630,33881156
Row 10,FAX.CON.127,Short Term – Quantity,6007,150.000,Unaffected,23493,678509,2525630,33881152
Row 11,FAX.CON.406,Short Term – 8949 Codes,6007,Covered,Modified,23493,698229,2525630,33881161
Row 12,FAX.CON.409,Short Term – Wash Sales,6007,88,Unaffected,23493,698232,2525630,33881157
Row 13,FAX.CON.069,Short Term – Description,6009,ADVANCED MICRO DEVICES,Unaffected,23493,684758,2525630,33881179
Row 14,FAX.CON.070,Short Term – Date Sold,6009,03/29/21,Unaffected,23493,684759,2525630,33881173
Row 15,FAX.CON.071,Short Term – Date Acquired,6009,03/10/21,Unaffected,23493,684760,2525630,33881172
Row 16,FAX.CON.072,Short Term – Proceeds,6009,10392,Unaffected,23493,684761,2525630,33881174
Row 17,FAX.CON.073,Short Term – Cost,6009,12351,Unaffected,23493,684762,2525630,33881175
Row 18,FAX.CON.127,Short Term – Quantity,6009,125.000,Unaffected,23493,678509,2525630,33881171
Row 19,FAX.CON.406,Short Term – 8949 Codes,6009,Covered,Modified,23493,698229,2525630,33881180
Row 20,FAX.CON.409,Short Term – Wash Sales,6009,1000,Unaffected,23493,698232,2525630,33881176
