Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.K65.006,Part I - A: Partnership’s employer identification number,0,52-2291755,Unaffected,23490,679618,2525650,33880178
Row 1,FAX.K65.007,Part I - B: Partnership’s name,0,"PERCEPTIVE LIFE FUND, LP",Unaffected,23490,679637,2525650,33880179
Row 2,FAX.K65.014,Part II - E: Partner’s identifying number,0,111-11-1111,Unaffected,23490,679640,2525650,33880185
Row 3,FAX.K65.046,Line 6a - Ordinary dividends,0,67613,Unaffected,23490,680010,2525650,33880193
Row 4,FAX.K65.047,Line 6b - Qualified dividends,0,66891,Unaffected,23490,680011,2525650,33880194
Row 5,FAX.K65.049,Line 8 - Net short-term capital gain (loss),0,-8045,Unaffected,23490,680013,2525650,33880195
Row 6,FAX.K65.050,Line 9a - Net long-term capital gain (loss),0,-3739,Unaffected,23490,680014,2525650,33880196
Row 7,FAX.K65.079,Part I - B: Partnership Address,0,"51 ASTOR PLACE, 10TH FLOOR",Unaffected,23490,692343,2525650,33880180
Row 8,FAX.K65.080,Part I - B: Partnership City,0,NEW YORK,Unaffected,23490,692344,2525650,33880181
Row 9,FAX.K65.081,Part I - B: Partnership State,0,NY,Modified,23490,692345,2525650,33880182
Row 10,FAX.K65.082,Part I - B: Partnership ZIP code,0,10003,Unaffected,23490,692346,2525650,33880183
Row 11,FAX.K65.189,Part II - F: Partner’s Name,0,JACK ANDERSON,Unaffected,23490,687514,2525650,33880186
Row 12,FAX.K65.716,Tax Year,0,2,Modified,23490,678037,2525650,33880176
Row 13,FAX.K65.054,Line 11 - Other income (loss) - Code,1,I,Modified,23490,680018,2525650,33880197
Row 14,FAX.K65.055,Line 11 - Other income (loss) - Amount,1,-5797,Unaffected,23490,680019,2525650,33880198
Row 15,FAX.K65.057,Line 13 - Other deductions - Code,26,W,Modified,23490,680073,2525650,33880199
Row 16,FAX.K65.058,Line 13 - Other deductions - Amount,26,23664,Unaffected,23490,680074,2525650,33880200
Row 17,FAX.K65.067,Line 18 - Tax-exempt income and nondeductible expenses - Code,151,C,Modified,23490,680222,2525650,33880202
Row 18,FAX.K65.068,Line 18 - Tax-exempt income and nondeductible expenses - Amount,151,6082,Unaffected,23490,680223,2525650,33880203
Row 19,FAX.K65.071,Line 20 - Other information - Code,201,A,Modified,23490,680226,2525650,33880204
Row 20,FAX.K65.072,Line 20 - Other information - Amount,201,67613,Unaffected,23490,680227,2525650,33880205
