Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.F98.031,Tax Year,0,2,Modified,23489,677982,2525647,33880136
Row 1,FAX.F98.003,RECIPIENT’S/LENDER’S name,1,Wells Fargo Bank N.A.,Unaffected,23489,679347,2525647,33880122
Row 2,FAX.F98.006,PAYER’S social security number,1,111-11-1111,Unaffected,23489,679611,2525647,33880123
Row 3,FAX.F98.010,Account number,1,019595,Unaffected,23489,679612,2525647,33880124
Row 4,FAX.F98.011,Box 1: Mortgage interest received from payer(s)/borrower(s),1,10814,Unaffected,23489,679613,2525647,33880125
Row 5,FAX.F98.015,Real Estate Tax,1,4606,Unaffected,23489,679616,2525647,33880128
Row 6,FAX.F98.021,Box 8 : Address of Property securing mortgage,1,1234 MAIN STREET,Unaffected,23489,669800,2525647,33880130
Row 7,FAX.F98.023,Box 2 : Outstanding mortgage principal as of 1/1/2019,1,291733,Unaffected,23489,695708,2525647,33880126
Row 8,FAX.F98.024,Box 3 : Mortgage origination date,1,08/10/2020,Unaffected,23489,695816,2525647,33880127
Row 9,FAX.F98.027,Box 8 : Address of Property securing mortgage - City,1,NEWPORT BEACH,Unaffected,23489,680939,2525647,33880131
Row 10,FAX.F98.028,Box 8 : Address of Property securing mortgage - State,1,CA,Modified,23489,680940,2525647,33880132
Row 11,FAX.F98.029,Box 8 : Address of Property securing mortgage - Zip Code,1,92660,Unaffected,23489,680941,2525647,33880133
