Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Morgan Stanley & Co. Incorporated,Unaffected,23493,681687,2525627,33880512
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525627,33880515
Row 2,FAX.CON.003,Account Number,0,123 445566 123,Unaffected,23493,681689,2525627,33880511
Row 3,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525627,33880513
Row 4,FAX.CON.153,Interest On Us Savings Bonds And Treas. Obligations – Description,1803,US TSY NOTE 0625 31AU15,Unaffected,23493,678661,2525627,33880572
Row 5,FAX.CON.154,Interest On Us Savings Bonds And Treas. Obligations – Amount,1803,23,Unaffected,23493,673845,2525627,33880573
Row 6,FAX.CON.153,Interest On Us Savings Bonds And Treas. Obligations – Description,1804,US TSY NOTE 0625 31AU15,Unaffected,23493,678661,2525627,33880574
Row 7,FAX.CON.154,Interest On Us Savings Bonds And Treas. Obligations – Amount,1804,72,Unaffected,23493,673845,2525627,33880575
Row 8,FAX.CON.161,Tax–Exempt Interest – Description,2801,CALIFORNIA HEA BE 5000 39MY01,Unaffected,23493,676218,2525627,33880516
Row 9,FAX.CON.162,Tax–Exempt Interest – Amount,2801,375,Unaffected,23493,676219,2525627,33880517
Row 10,FAX.CON.213,Check If Interest State Taxable,2801,(null),Unaffected,23493,675302,2525627,33881644
Row 11,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2801,1,Unaffected,23493,671596,2525627,33881645
Row 12,FAX.CON.161,Tax–Exempt Interest – Description,2802,CALIFORNIA HEA BE 5000 39MY01,Unaffected,23493,676218,2525627,33880518
Row 13,FAX.CON.162,Tax–Exempt Interest – Amount,2802,375,Unaffected,23493,676219,2525627,33880519
Row 14,FAX.CON.213,Check If Interest State Taxable,2802,(null),Unaffected,23493,675302,2525627,33881649
Row 15,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2802,1,Unaffected,23493,671596,2525627,33881650
Row 16,FAX.CON.161,Tax–Exempt Interest – Description,2803,CALIFORNIA ST BE 5000 30MH01,Unaffected,23493,676218,2525627,33880520
Row 17,FAX.CON.162,Tax–Exempt Interest – Amount,2803,1000,Unaffected,23493,676219,2525627,33880521
Row 18,FAX.CON.213,Check If Interest State Taxable,2803,(null),Unaffected,23493,675302,2525627,33881654
Row 19,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2803,1,Unaffected,23493,671596,2525627,33881655
Row 20,FAX.CON.161,Tax–Exempt Interest – Description,2804,CALIFORNIA ST BE 5000 30MH01,Unaffected,23493,676218,2525627,33880522
Row 21,FAX.CON.162,Tax–Exempt Interest – Amount,2804,228,Unaffected,23493,676219,2525627,33880523
Row 22,FAX.CON.213,Check If Interest State Taxable,2804,(null),Unaffected,23493,675302,2525627,33881659
Row 23,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2804,1,Unaffected,23493,671596,2525627,33881660
Row 24,FAX.CON.161,Tax–Exempt Interest – Description,2805,CALIFORNIA ST BE 5000 32MH01,Unaffected,23493,676218,2525627,33880524
Row 25,FAX.CON.162,Tax–Exempt Interest – Amount,2805,1000,Unaffected,23493,676219,2525627,33880525
Row 26,FAX.CON.213,Check If Interest State Taxable,2805,(null),Unaffected,23493,675302,2525627,33881664
Row 27,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2805,1,Unaffected,23493,671596,2525627,33881665
Row 28,FAX.CON.161,Tax–Exempt Interest – Description,2806,CALIFORNIA ST BE 5000 32MH01,Unaffected,23493,676218,2525627,33880526
Row 29,FAX.CON.162,Tax–Exempt Interest – Amount,2806,1000,Unaffected,23493,676219,2525627,33880527
Row 30,FAX.CON.213,Check If Interest State Taxable,2806,(null),Unaffected,23493,675302,2525627,33881669
Row 31,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2806,1,Unaffected,23493,671596,2525627,33881670
Row 32,FAX.CON.161,Tax–Exempt Interest – Description,2807,CALIFORNIA STA BE 5000 38AP01,Unaffected,23493,676218,2525627,33880528
Row 33,FAX.CON.162,Tax–Exempt Interest – Amount,2807,850,Unaffected,23493,676219,2525627,33880529
Row 34,FAX.CON.213,Check If Interest State Taxable,2807,(null),Unaffected,23493,675302,2525627,33881674
Row 35,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2807,1,Unaffected,23493,671596,2525627,33881675
Row 36,FAX.CON.161,Tax–Exempt Interest – Description,2808,FREMONT UNION CA BE 5000 22AU01,Unaffected,23493,676218,2525627,33880530
Row 37,FAX.CON.162,Tax–Exempt Interest – Amount,2808,1250,Unaffected,23493,676219,2525627,33880531
Row 38,FAX.CON.213,Check If Interest State Taxable,2808,(null),Unaffected,23493,675302,2525627,33881679
Row 39,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2808,1,Unaffected,23493,671596,2525627,33881680
Row 40,FAX.CON.161,Tax–Exempt Interest – Description,2809,LOS ANGELES CA BE 5000 28JL01,Unaffected,23493,676218,2525627,33880532
Row 41,FAX.CON.162,Tax–Exempt Interest – Amount,2809,1000,Unaffected,23493,676219,2525627,33880533
Row 42,FAX.CON.213,Check If Interest State Taxable,2809,(null),Unaffected,23493,675302,2525627,33881684
Row 43,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2809,1,Unaffected,23493,671596,2525627,33881685
