Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.K65.006,Part I - A: Partnership’s employer identification number,0,52-2291755,Unaffected,23490,679618,2525651,33881637
Row 1,FAX.K65.007,Part I - B: Partnership’s name,0,"PERCEPTIVE LIFE FUND, LP",Unaffected,23490,679637,2525651,33881638
Row 2,FAX.K65.014,Part II - E: Partner’s identifying number,0,111-11-1111,Unaffected,23490,679640,2525651,33881639
Row 3,FAX.K65.189,Part II - F: Partner’s Name,0,JACK ANDERSON,Unaffected,23490,687514,2525651,33881640
Row 4,FAX.K65.716,Tax Year,0,2,Modified,23490,678037,2525651,33881636
Row 5,FAX.K65.612,Supplemental: Line 11I - Other Income - Total Summary Amount,106,-5797,Unaffected,23490,690417,2525651,33881631
Row 6,FAX.K65.683,Supplemental: Line 13W - Other Deductions - Total Summary Amount,119,23664,Unaffected,23490,674302,2525651,33881634
Row 7,FAX.K65.610,Supplemental: Line 11I - Other Income - Description,801,FOREIGN CURRENCY GAIN (LOSS) - SECTION 988,Unaffected,23490,690406,2525651,33881628
Row 8,FAX.K65.611,Supplemental: Line 11I - Other Income - Amount,801,-6797,Unaffected,23490,690416,2525651,33881627
Row 9,FAX.K65.610,Supplemental: Line 11I - Other Income - Description,802,OTHER ORDINARY INCOME (LOSS),Unaffected,23490,690406,2525651,33881630
Row 10,FAX.K65.611,Supplemental: Line 11I - Other Income - Amount,802,1000,Unaffected,23490,690416,2525651,33881629
Row 11,FAX.K65.679,Supplemental: Line 13W - Other Deductions - Description,1401,OTHER MISCELLANEOUS DEDUCTIONS,Unaffected,23490,674298,2525651,33881632
Row 12,FAX.K65.681,Supplemental: Line 13W - Other Deductions - Amount,1401,23664,Unaffected,23490,674300,2525651,33881633
