Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.K3P.001,Tax Year,0,2,Modified,23899,693450,2525655,33880037
Row 1,FAX.K3P.006,A Partnership’s employer identification number (EIN),0,52-2291755,Unaffected,23899,693455,2525655,33880036
Row 2,FAX.K3P.007,B Partnership’s name,0,"PERCEPTIVE LIFE FUND, LP",Unaffected,23899,693456,2525655,33880035
Row 3,FAX.K3P.012,C Partner's SSN or Taxpayer Identification Number (TIN),0,111-11-1111,Unaffected,23899,693461,2525655,33880034
Row 4,FAX.K3P.013,D Partner's Name,0,JACK ANDERSON,Unaffected,23899,693462,2525655,33880038
Row 5,FAX.K3P.183,PART II - 24 Total gross income - (g) Total,221,-47,Unaffected,23899,694180,2525655,33880013
Row 6,FAX.K3P.179,PART II - 24 Total gross income - (c) Passive category income,222,1390,Unaffected,23899,694092,2525655,33880015
Row 7,FAX.K3P.183,PART II - 24 Total gross income - (g) Total,222,1390,Unaffected,23899,694180,2525655,33880016
Row 8,FAX.K3P.633,PART II - 24 Total gross income (w/o Description) - (c) Passive category income,821,67660,Unaffected,23899,699598,2525655,33880009
Row 9,FAX.K3P.637,PART II - 24 Total gross income (w/o Description) - (g) Total,821,67613,Unaffected,23899,699602,2525655,33880010
