Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.CON.001,Payer's Name,0,Robinhood Securities LLC,Unaffected,23493,681687,2525635,33880138
Row 1,FAX.CON.002,Taxpayer SSN,0,111-11-1111,Unaffected,23493,681688,2525635,33880140
Row 2,FAX.CON.003,Account Number,0,987654321,Unaffected,23493,681689,2525635,33880137
Row 3,FAX.CON.043,Box 2a: Gross Proceeds Less Commissions And Option Premiums,0,6491,Unaffected,23493,682799,2525635,33880144
Row 4,FAX.CON.793,Employer ID,0,38-4019216,Unaffected,23493,696187,2525635,33880145
Row 5,FAX.CON.966,Tax Year,0,2,Modified,23493,690420,2525635,33880142
Row 6,FAX.CON.012,Box 1a: Total Ordinary Dividends (Includes 1B),100,23,Unaffected,23493,681697,2525635,33880153
Row 7,FAX.CON.013,Box 1b: Qualified Dividends,100,23,Unaffected,23493,682357,2525635,33880155
Row 8,FAX.CON.753,Short Term – RGL Covered – Proceeds3,461,6491,Unaffected,23493,673212,2525635,33880173
Row 9,FAX.CON.754,Short Term – RGL Covered – Cost3,461,5578,Unaffected,23493,673213,2525635,33880174
